sigla,TAXES,MUN_EXPENDIT,value,group
GO,17009.38488,12460.639013,4548.745867000001,blue
MG,42016.856479999995,38917.429642,3099.426837999992,blue
PA,11309.79363,7394.355805,3915.437825,blue
CE,16146.261480000001,17134.845685,988.5842049999992,red
BA,27443.809350000003,22267.291239,5176.518111000005,blue
PR,25645.931350000003,25112.398332,533.5330180000019,blue
SC,35421.87758,16115.385368,19306.492212,blue
PE,14045.47258,17095.241426,3049.768846000001,red
TO,2397.08521,3030.561133,633.475923,red
MA,7749.49411,8859.092215,1109.598105000001,red
RN,5573.524,4484.051244,1089.4727560000001,blue
PI,4340.85725,5700.461936,1359.6046859999997,red
RS,47757.616070000004,30390.427205,17367.188865000004,blue
MT,10035.65862,6861.857889,3173.8007310000003,blue
AC,1215.1707699999997,1304.967599,89.79682900000034,red
SP,285954.70816,130486.53917,155468.16898999998,blue
ES,16145.963060000002,7950.465167,8195.497893000002,blue
AL,1633.1207599999998,3922.317364,2289.196604,red
PB,6118.8123700000015,6057.266807,61.54556300000149,blue
MS,7916.372289999999,7749.0339,167.33838999999898,blue
RO,3766.5140699999993,3259.421444,507.0926259999992,blue
RR,110.53058,933.221767,822.691187,red
AM,12943.780890000004,6139.801336,6803.979554000003,blue
AP,864.10428,671.73593,192.36834999999996,blue
SE,3988.7437399999994,4415.380026,426.6362860000004,red
RJ,25378.122789999998,36947.380949,11569.258159,red
DF,29145.585420000003,0.0,29145.585420000003,blue
